,User Name,Time Stamp,Text of Tweet,Compound Score,Positive Score,Neutral Score,Negative Score
33,BBCWorld,Thu Nov 07 07:05:40 +0000 2019,'OK boomer': 25-year-old New Zealand MP uses viral term in parliament https://t.co/KEktR0kL60,0.4466,0.211,0.789,0.0
34,BBCWorld,Thu Nov 07 06:47:03 +0000 2019,Nine jailed in China for smuggling fentanyl to US after landmark operation https://t.co/9VavHhvTV9,-0.7184,0.074,0.568,0.358
35,BBCWorld,Thu Nov 07 05:23:13 +0000 2019,Impeachment inquiry: Trump berates Democrats in Louisiana https://t.co/p1rFxDrZHL,0.0,0.0,1.0,0.0
36,BBCWorld,Thu Nov 07 03:57:10 +0000 2019,RT @SallyBundockBBC: A @UN report out today will confirm demand for meat and diary is continuing to grow. There will be another call to mov…,-0.128,0.0,0.939,0.061
37,BBCWorld,Thu Nov 07 01:51:46 +0000 2019,Chile protests: Concerns grow over human rights abuses https://t.co/MET4DkN21n,-0.6705,0.0,0.56,0.44
38,BBCWorld,Thu Nov 07 01:44:37 +0000 2019,The cheap sensor detecting landslides in India https://t.co/Oh7gp1w2fR,0.0,0.0,1.0,0.0
39,BBCWorld,Thu Nov 07 01:42:21 +0000 2019,Adèle Haenel MeToo moment shocks French cinema https://t.co/WbBtTWYhy1,-0.3818,0.0,0.729,0.271
40,BBCWorld,Thu Nov 07 01:37:45 +0000 2019,'I was kidnapped and now only travel by train' https://t.co/mp9CmN108y,0.0,0.0,1.0,0.0
41,BBCWorld,Thu Nov 07 00:52:19 +0000 2019,"Iran's network of influence grows, new study finds https://t.co/8Z3hlNGTMx",0.0,0.0,1.0,0.0
42,BBCWorld,Thu Nov 07 00:17:25 +0000 2019,RTÉ plans to cut 200 jobs and reduce pay https://t.co/itLYWDnLNM,-0.3612,0.0,0.696,0.304
43,BBCWorld,Wed Nov 06 23:56:09 +0000 2019,Burkina Faso: Gunmen ambush mining firm convoy and kill 37 https://t.co/eIGj0JX2lc,-0.6908,0.0,0.68,0.32
44,BBCWorld,Wed Nov 06 23:07:15 +0000 2019,Ex-Twitter employees accused of spying for Saudi Arabia https://t.co/Y8bjvmD510,-0.296,0.0,0.784,0.216
45,BBCWorld,Wed Nov 06 20:12:12 +0000 2019,"RT @BBCBreaking: Amsterdam Schiphol Airport emergency was triggered by pilot accidentally setting off hijack alarm, airline says https://t.…",-0.7506,0.0,0.67,0.33
46,BBCWorld,Wed Nov 06 19:52:20 +0000 2019,"RT @BBCBreaking: Passengers and crew have been safely taken off a plane at Amsterdam's Schiphol Airport following an incident, Dutch police…",0.4939,0.144,0.856,0.0
47,BBCWorld,Wed Nov 06 19:49:00 +0000 2019,"RT @BBCSport: FT! Bayern Munich and Juventus both secure their place in the last 16.

Bayern Munich 2-0 Olympiakos
Lokomotiv Moscow 1-2 Juv…",0.4003,0.109,0.891,0.0
48,BBCWorld,Wed Nov 06 19:27:31 +0000 2019,Dutch police deployed to plane at Schiphol airport https://t.co/J9gqpTaHan,0.0,0.0,1.0,0.0
49,BBCWorld,Wed Nov 06 19:25:09 +0000 2019,"RT @BBCBreaking: Dutch police investigating ""suspicious situation"" on board plane at Schiphol airport https://t.co/Qc6C4CLSle",-0.3612,0.0,0.839,0.161
50,BBCWorld,Wed Nov 06 19:22:38 +0000 2019,Martin Luther King's name removed from Kansas city street https://t.co/E5PekDhRHu,0.0,0.0,1.0,0.0
51,BBCWorld,Wed Nov 06 18:59:30 +0000 2019,How dangerous is Mexico? https://t.co/1NkqqZwYWq,-0.4767,0.0,0.563,0.437
52,BBCWorld,Wed Nov 06 18:10:58 +0000 2019,RT @BBCNorthAmerica: Tuscon: Voters in liberal US city reject sanctuary city status https://t.co/KOj04HfF5c,-0.4019,0.0,0.816,0.184
53,BBCWorld,Wed Nov 06 18:06:08 +0000 2019,"Ten Japanese bullet trains scrapped after damage from Typhoon Hagibis floodwater

https://t.co/hRfZgUBiSY",-0.4939,0.0,0.775,0.225
54,BBCWorld,Wed Nov 06 17:40:37 +0000 2019,"RT @BBCPolitics: ""Brexit is the biggest foreign policy mistake in the post-war period""

John Bercow gives his ""honest view"" on Brexit after…",0.2263,0.128,0.778,0.093
55,BBCWorld,Wed Nov 06 17:16:04 +0000 2019,Trump impeachment hearings to go public next week https://t.co/bCJgfEuiJh,0.0,0.0,1.0,0.0
56,BBCWorld,Wed Nov 06 16:44:05 +0000 2019,Ethiopian asylum seeker denied life-saving dialysis in South Africa https://t.co/aD16jjn0JK,-0.4404,0.0,0.756,0.244
57,BBCWorld,Wed Nov 06 16:38:04 +0000 2019,Why China's rise exposes Australian vulnerabilities https://t.co/4IW3msS4Pt,-0.2732,0.0,0.617,0.383
58,BBCWorld,Wed Nov 06 16:20:57 +0000 2019,Rodney Reed 'scared as hell' on death row https://t.co/fzatkca9M8,-0.9081,0.0,0.345,0.655
59,BBCWorld,Wed Nov 06 15:33:24 +0000 2019,France 'takes back control' with non-EU migrant quotas https://t.co/jqtpb7mByl,0.0,0.0,1.0,0.0
60,BBCWorld,Wed Nov 06 14:47:26 +0000 2019,Baby with rare skin condition abandoned at Italian hospital https://t.co/ks3ydSnnVM,-0.4588,0.0,0.75,0.25
61,BBCWorld,Wed Nov 06 14:28:03 +0000 2019,"Flood fund for Laxey residents raises almost £30,000 https://t.co/NNeOrn7AQd",0.0,0.0,1.0,0.0
62,BBCWorld,Wed Nov 06 14:16:28 +0000 2019,Libya migrant attack: UN investigators suspect foreign jet bombed centre https://t.co/uHtP5u1SjN,-0.6486,0.0,0.629,0.371
63,BBCWorld,Wed Nov 06 13:53:09 +0000 2019,"This abandoned building in the centre of Baghdad has been taken over by thousands of protesters.

[tap to expand]… https://t.co/70ixMa64Wb",-0.5994,0.0,0.786,0.214
64,BBCWorld,Wed Nov 06 13:50:05 +0000 2019,Ireland proposes levy on disposable cups https://t.co/0OKrum9m8i,0.0,0.0,1.0,0.0
65,BBCWorld,Wed Nov 06 13:45:08 +0000 2019,Israel approves controversial Old City cable car plan at one of Judaism's holiest sites https://t.co/BriBcJGjvv,0.2263,0.154,0.743,0.103
66,BBCWorld,Wed Nov 06 13:39:05 +0000 2019,Jordanians detained by Israel for months freed after diplomatic crisis https://t.co/NhALUkBUn1,-0.6249,0.154,0.457,0.389
67,BBCWorld,Wed Nov 06 13:33:06 +0000 2019,China imposes gaming curfew for minors https://t.co/1q2NylIvEx,-0.1027,0.0,0.811,0.189
68,BBCWorld,Wed Nov 06 13:27:05 +0000 2019,Abu Bakr al-Baghdadi: Turkey 'detains IS leader's wife' https://t.co/S4KnOtfVWw,0.0,0.0,1.0,0.0
69,BBCWorld,Wed Nov 06 13:18:15 +0000 2019,Jordan attack: Knifeman stabs Mexican tourists in Jerash https://t.co/E8oxiy51cK,-0.7184,0.0,0.538,0.462
70,BBCWorld,Wed Nov 06 12:44:03 +0000 2019,Virginia elects woman fired for giving President Trump the finger https://t.co/zTPtJX8b6h,-0.296,0.16,0.6,0.24
71,BBCWorld,Wed Nov 06 12:40:43 +0000 2019,Girl with Down's syndrome excluded from Spanish volleyball cup team https://t.co/u0XU386oFE,-0.34,0.0,0.806,0.194
72,BBCWorld,Wed Nov 06 12:11:35 +0000 2019,"RT @bbcweather: 😍🌇A beautiful sunset seen through the Brooklyn Bridge in New York, USA on Monday. https://t.co/RgEGa1Touq",0.5994,0.196,0.804,0.0
73,BBCWorld,Wed Nov 06 11:52:02 +0000 2019,Philippines: President Duterte's fierce rival becomes new drug czar https://t.co/nPX7nsKqGg,0.0,0.0,1.0,0.0
74,BBCWorld,Wed Nov 06 11:49:04 +0000 2019,Family who fled Nazis lend collection of mini carvings to Austria https://t.co/DrfCe1Bn9Z,0.0,0.0,1.0,0.0
75,BBCWorld,Wed Nov 06 11:42:22 +0000 2019,"Every city in the world has been designed and built by men, but how would a city differ if it was built by women?… https://t.co/CitAujERRf",0.0,0.0,1.0,0.0
76,BBCWorld,Wed Nov 06 11:04:56 +0000 2019,Pro-Beijing lawmaker stabbed by 'fake supporter' in Hong Kong https://t.co/oWZXRZmraM,-0.5994,0.139,0.464,0.397
77,BBCWorld,Wed Nov 06 10:56:13 +0000 2019,"Mexico ambush: Boy, 13, walked 23km for help after gun attack https://t.co/jIEVSILCMd",-0.4215,0.157,0.523,0.32
78,BBCWorld,Wed Nov 06 10:23:05 +0000 2019,Many dead in Tajikistan 'firefight with IS' https://t.co/kAsbvNmnZ2,-0.6486,0.0,0.619,0.381
79,BBCWorld,Wed Nov 06 10:14:32 +0000 2019,Gunmen kill 15 in southern Thailand's 'biggest attack' in recent years https://t.co/WSoakud9AY,-0.8316,0.0,0.562,0.438
80,BBCWorld,Wed Nov 06 10:13:27 +0000 2019,"""We had to use... a state of emergency to restore public order""

Chilean President Sebastián Piñera has said he wil… https://t.co/C6eTE1052u",-0.1027,0.096,0.789,0.114
81,BBCWorld,Wed Nov 06 09:45:24 +0000 2019,Why is India's pollution much worse than China's? https://t.co/Te42vUeMxX,-0.4767,0.0,0.721,0.279
82,BBCWorld,Wed Nov 06 09:12:20 +0000 2019,"""I think this rugby game with a black man leading it, has changed South Africa""

The Springboks bring the Rugby Wor… https://t.co/QNXi8HIPQ9",0.0,0.0,1.0,0.0
83,BBCWorld,Wed Nov 06 08:18:05 +0000 2019,Boeing whistleblower raises doubts over 787 oxygen system https://t.co/m5WzoFijVp,-0.296,0.0,0.784,0.216
84,BBCWorld,Wed Nov 06 08:03:42 +0000 2019,California murder suspects escaped jail through 22-inch hole https://t.co/XYh1V4HC4s,-0.7964,0.0,0.496,0.504
85,BBCWorld,Wed Nov 06 06:20:15 +0000 2019,Ana Kriégel murder: What next for Irish youth justice? https://t.co/3J0Go1tU5u,-0.3182,0.211,0.497,0.292
86,BBCWorld,Wed Nov 06 05:31:51 +0000 2019,Why Democrat state election gains should concern Trump https://t.co/bYvxIZIEWf,0.34,0.231,0.769,0.0
87,BBCWorld,Wed Nov 06 05:20:27 +0000 2019,Democrats claim victory in key Virginia and Kentucky elections https://t.co/7gM6vz2hgS,0.0,0.0,1.0,0.0
88,BBCWorld,Wed Nov 06 04:00:47 +0000 2019,RT @SallyBundockBBC: How to get kids off screens and move them to audio - that is the challenge that #Spotify and other big names in #podca…,0.0772,0.051,0.949,0.0
89,BBCWorld,Wed Nov 06 03:57:06 +0000 2019,Pro-Beijing lawmaker stabbed by 'fake supporter' in Hong Kong https://t.co/V8JZkc4tJE,-0.5994,0.139,0.464,0.397
90,BBCWorld,Wed Nov 06 03:03:10 +0000 2019,Grace Millane murder: Prosecution presents first evidence https://t.co/zDH8S6N59Z,-0.7269,0.178,0.318,0.503
91,BBCWorld,Wed Nov 06 02:40:08 +0000 2019,Matildas: Australia women's football team in landmark pay deal https://t.co/YvUP2dT09b,-0.0258,0.121,0.748,0.131
92,BBCWorld,Wed Nov 06 01:23:40 +0000 2019,California murder suspects escaped jail through 22-inch hole https://t.co/y4Rn4uTELz,-0.7964,0.0,0.496,0.504
93,BBCWorld,Wed Nov 06 01:05:04 +0000 2019,Hunters of rare Swiss ibex stir Alps wildlife row https://t.co/5kargrMmao,0.0,0.0,1.0,0.0
94,BBCWorld,Wed Nov 06 00:25:58 +0000 2019,Pakistan police investigate 'joint suicide' of sisters-in-law https://t.co/Nts58kYpny,-0.6705,0.0,0.609,0.391
95,BBCWorld,Wed Nov 06 00:23:25 +0000 2019,Spanish election: Five face off in race to run Spain https://t.co/zNt7jIHevX,0.0,0.0,1.0,0.0
96,BBCWorld,Wed Nov 06 00:21:03 +0000 2019,How Cuban art fed Africa's liberation struggles https://t.co/n7VGv72CUK,-0.3612,0.0,0.737,0.263
97,BBCWorld,Tue Nov 05 22:15:56 +0000 2019,Brazil dam owner Vale failed to report danger signs - regulator https://t.co/yy1Uxs383a,-0.7717,0.0,0.573,0.427
98,BBCWorld,Tue Nov 05 22:02:05 +0000 2019,Mexico Mormons: Who are the US victims of ambush attack? https://t.co/mGjgjIukm0,-0.6597,0.0,0.625,0.375
99,BBCWorld,Tue Nov 05 21:34:07 +0000 2019,Jean-Claude Juncker: 'I've had enough Brexit' outgoing EU chief says https://t.co/FJK0q5rWX7,0.296,0.18,0.82,0.0
100,CNN,Thu Nov 07 21:23:13 +0000 2019,"For the first time in 19 years, a team of scientists has detected a new strain of HIV https://t.co/T8ipqKBjV1",-0.0516,0.0,0.93,0.07
101,CNN,Thu Nov 07 21:17:43 +0000 2019,"Sen. Bernie Sanders says he would place a moratorium on deportations, end raids by Immigrations and Customs Enforce… https://t.co/sUMf6rc9tG",0.0,0.0,1.0,0.0
102,CNN,Thu Nov 07 21:12:09 +0000 2019,"Politicians around the world are often accused of evading difficult questions, but a local mayor in Chile took thin… https://t.co/F1aFO2TgNr",-0.3291,0.0,0.835,0.165
103,CNN,Thu Nov 07 21:00:19 +0000 2019,A NY state judge ordered Trump to pay $2M to a collection of nonprofit organizations in connection with a settlemen… https://t.co/ODhsQp7gUq,-0.1027,0.0,0.924,0.076
104,CNN,Thu Nov 07 20:52:52 +0000 2019,"Text messages that appear to have originally been sent on February 14, Valentine's Day, were received more than eig… https://t.co/YR3AogS7Ig",0.0,0.0,1.0,0.0
105,CNN,Thu Nov 07 20:35:46 +0000 2019,House impeachment investigators released the closed-door deposition transcript of a State Department official who s… https://t.co/98d3fCXSqa,0.0,0.0,1.0,0.0
106,CNN,Thu Nov 07 20:27:51 +0000 2019,The Vice President dismissed the report and called on the book's author ⁠— who has been described as a senior Trump… https://t.co/2Gy6afzA6X,0.0,0.0,1.0,0.0
107,CNN,Thu Nov 07 20:14:03 +0000 2019,"The views are spectacular from the highest Central Park-facing hotel suite in New York City, but there's a high pri… https://t.co/8eVcjjypH6",0.0,0.0,1.0,0.0
108,CNN,Thu Nov 07 20:06:05 +0000 2019,"The Christmas tree that will soon light up Rockefeller Center is already headed to its Manhattan pedestal.

A tree-… https://t.co/eSfWDl8ZIv",0.0,0.0,1.0,0.0
109,CNN,Thu Nov 07 20:00:16 +0000 2019,"A newly discovered species of ape may have been walking on two feet almost 12 million years ago in Europe, scientis… https://t.co/e5XP0db1nb",0.0,0.0,1.0,0.0
110,CNN,Thu Nov 07 19:50:04 +0000 2019,Ten people at a care facility in Oklahoma were hospitalized after they were injected with insulin instead of a flu… https://t.co/aelRXdr8PA,0.4939,0.151,0.849,0.0
111,CNN,Thu Nov 07 19:40:07 +0000 2019,"With extended stays in space becoming more commonplace and longer missions to the moon and Mars planned, scientists… https://t.co/c3oOv384xo",0.0,0.0,1.0,0.0
112,CNN,Thu Nov 07 19:30:07 +0000 2019,Scientists from NASA have opened up an untouched Moon rock and soil sample that was brought back by the Apollo 17 l… https://t.co/QB7dT7GSn4,0.0,0.0,1.0,0.0
113,CNN,Thu Nov 07 19:20:04 +0000 2019,A Christian comedian has issued a lengthy statement and canceled his tour after allegations surfaced that he to use… https://t.co/fhfwUlP5nN,0.3818,0.133,0.867,0.0
114,CNN,Thu Nov 07 19:10:03 +0000 2019,"President Trump made 50 false claims last week. Not good, per se, but it is an improvement from his recent barrage… https://t.co/EebQRsPE4Q",0.5101,0.156,0.778,0.066
115,CNN,Thu Nov 07 19:00:01 +0000 2019,No wind? No sun? This power plant solves renewable energy's biggest problem. https://t.co/oHVCfnzcom https://t.co/UUCTSrYZHV,-0.6553,0.107,0.511,0.381
116,CNN,Thu Nov 07 18:57:18 +0000 2019,High school students helped a young boy with cerebral palsy transform into The Incredible Hulk for Halloween… https://t.co/14POkgJj5g,0.0,0.0,1.0,0.0
117,CNN,Thu Nov 07 18:50:05 +0000 2019,Have you ever wondered why certain pop songs just make you feel so good? Researchers studying the question found th… https://t.co/vCYrqfbaZo,0.7042,0.235,0.765,0.0
118,CNN,Thu Nov 07 18:45:06 +0000 2019,"House Democrats are signaling they are now on a fast-track in their impeachment proceedings, avoiding court battles… https://t.co/LBaXxcnOF2",-0.34,0.0,0.87,0.13
119,CNN,Thu Nov 07 18:40:00 +0000 2019,Watch this billionaire get choked up talking about Elizabeth Warren's wealth tax https://t.co/waqxCp80mm https://t.co/7sLS14hZtt,0.0258,0.175,0.656,0.169
120,CNN,Thu Nov 07 18:30:01 +0000 2019,"""Dear God, everybody Pray!""

In the hours after the massacre of three mothers and six of their children on a road i… https://t.co/r1dVCD7kVi",0.6114,0.2,0.8,0.0
121,CNN,Thu Nov 07 18:20:03 +0000 2019,"In an attempt to get homeless people off city streets, the Las Vegas City Council has passed an ordinance that make… https://t.co/OjBFmSmK3X",0.0,0.0,1.0,0.0
122,CNN,Thu Nov 07 18:10:06 +0000 2019,"""Baby! Hi, I love you!"" the woman mumbled as she waved before later breaking into a little dance while inside the l… https://t.co/v5VWEaI9wq",0.6988,0.193,0.807,0.0
123,CNN,Thu Nov 07 18:00:06 +0000 2019,The House Intelligence committee did not issue a subpoena to John Bolton after his attorney threatened to go to cou… https://t.co/dWm7KF0Dz8,0.0258,0.129,0.747,0.124
124,CNN,Thu Nov 07 17:50:05 +0000 2019,"His nomination will now move to the full Senate, which will vote on his life time appointment in the coming weeks.… https://t.co/G189GXnI9m",0.0,0.0,1.0,0.0
125,CNN,Thu Nov 07 17:40:06 +0000 2019,"Lt. Col. Alexander Vindman, the National Security Council's top Ukraine expert who testified last week before House… https://t.co/4ytGTRwq55",0.4939,0.208,0.792,0.0
126,CNN,Thu Nov 07 17:30:09 +0000 2019,Sen. Elizabeth Warren criticized US weapons sales to Saudi Arabia and the United Arab Emirates following a new CNN… https://t.co/T5bt6ibezd,-0.3818,0.116,0.661,0.223
127,CNN,Thu Nov 07 17:22:00 +0000 2019,"Queen Elizabeth II has ditched real fur in her outfits and instead will opt for fake, according to her senior dress… https://t.co/eHski1GB8c",-0.4767,0.0,0.871,0.129
128,CNN,Thu Nov 07 17:14:03 +0000 2019,"Italian school students in every grade will be required to study climate change and sustainability, in an attempt t… https://t.co/kD6YiWUS5u",0.0,0.0,1.0,0.0
129,CNN,Thu Nov 07 17:00:21 +0000 2019,". @LisaLing attends the country’s largest swingers party in New Orleans, and learns how the swinging lifestyle is e… https://t.co/oHRT4jyxb5",0.4019,0.13,0.87,0.0
130,CNN,Thu Nov 07 17:00:05 +0000 2019,"Inside a torched car riddled with bullet holes, a tiny sign of life emerged. A 7-month-old baby was alive. She surv… https://t.co/Y6I8Ja3zwa",0.3818,0.126,0.874,0.0
131,CNN,Thu Nov 07 16:50:00 +0000 2019,"""Dear Mrs. Chambers, I don't think that teachers get paid enough for what they do, so, will you accept this gift?""… https://t.co/b9V7BXLG1Y",0.6666,0.223,0.777,0.0
132,CNN,Thu Nov 07 16:43:02 +0000 2019,The Red Sea is home to some of the world's best and most beautiful coral reefs. Here's how you can explore them in… https://t.co/6YIbP2fzHP,0.8553,0.276,0.724,0.0
133,CNN,Thu Nov 07 16:41:08 +0000 2019,"Clifton Blackwell, the Milwaukee man accused of throwing acid last week on a US citizen born in Peru, is being char… https://t.co/TxA2tWkvT0",-0.296,0.0,0.901,0.099
134,CNN,Thu Nov 07 16:25:02 +0000 2019,"For the first time in 19 years, a team of scientists detected a new strain of HIV. https://t.co/UWfG39MaEj https://t.co/ZcPANXrJtW",-0.0516,0.0,0.93,0.07
135,CNN,Thu Nov 07 16:16:39 +0000 2019,"Collins Dictionary has named ""climate strike"" as its word of the year, defining it as ""a form of protest in which p… https://t.co/l7aJIcodi8",-0.3612,0.0,0.857,0.143
136,CNN,Thu Nov 07 16:00:14 +0000 2019,John O'Connor is the transit worker whose fast moves saved a man who slipped onto the tracks as a train approached.… https://t.co/FN3SC03FlI,0.4215,0.128,0.872,0.0
137,CNN,Thu Nov 07 15:51:23 +0000 2019,This one-legged skeleton is believed to be one of Napoleon Bonaparte's generals. A team of archaeologists discovere… https://t.co/ruAVlOHTNe,0.0,0.0,1.0,0.0
138,CNN,Thu Nov 07 15:40:05 +0000 2019,"After more than 30 years with the Chicago Police, Superintendent Eddie Johnson is expected to announce that he is r… https://t.co/4oRg2sqXA8",0.0,0.0,1.0,0.0
139,CNN,Thu Nov 07 15:31:37 +0000 2019,A 10-year-old boy walking home from school in Philadelphia was critically injured Wednesday when he was shot in the… https://t.co/7bzNlHI6ko,-0.4019,0.0,0.87,0.13
140,CNN,Thu Nov 07 15:20:22 +0000 2019,"She lost by 0 votes in 2017. This year, she won by 3,487. https://t.co/YIdQ7ZsNDO https://t.co/MQx1MPxUJG",0.34,0.206,0.667,0.128
141,CNN,Thu Nov 07 15:11:38 +0000 2019,A new study finds people who feel they aren't supported by their extended family are more likely to suffer chronic… https://t.co/oDSMsTsEah,-0.6933,0.0,0.759,0.241
142,CNN,Thu Nov 07 14:58:50 +0000 2019,"Facing increased scrutiny, Facebook is considering making some changes to how it handles political ads, a source te… https://t.co/hxI4nH2Ynp",0.2732,0.11,0.89,0.0
143,CNN,Thu Nov 07 14:56:29 +0000 2019,Two-time World Cup winner Alex Morgan says she plans to return to the national team in time for the 2020 Olympics https://t.co/PUEAgoGspn,0.5859,0.153,0.847,0.0
144,CNN,Thu Nov 07 14:42:49 +0000 2019,"Do you suffer from insomnia? You may be more likely to suffer a heart attack or stroke or develop heart disease, ac… https://t.co/WVRtpTyVCw",-0.8779,0.0,0.653,0.347
145,CNN,Thu Nov 07 14:35:23 +0000 2019,"Italian school students in every grade will be required to study climate change and sustainability, in an attempt t… https://t.co/5mHl9LxBUF",0.0,0.0,1.0,0.0
146,CNN,Thu Nov 07 14:22:30 +0000 2019,More than 2 million pounds of poultry products have been recalled in eight states over fears of contamination with… https://t.co/aiCKh66T09,-0.4215,0.0,0.865,0.135
